num,wavelength.180,wavelength.280,wavelength.380,wavelength.480,wavelength.580,wavelength.680,wavelength.780,sugar
1,0.002349451,0.002153522,0.0802089,0.638498471,0.053362818,0.021362818,0.000904937,0.156
2,0.001362827,0.001287191,0.105770552,0.652728351,0.060988962,0.028988962,0.00036565,0.156
3,0.00313085,0.002684226,0.053562078,0.531743392,0.060382614,0.028382614,0.001273627,0.156
4,0.002305436,0.002314425,0.11120695,0.708001758,0.047491502,0.015491502,0.000838141,0.112
5,0.002084124,0.001883681,0.060495535,0.630786195,0.046338063,0.014338063,0.000775847,0.112
6,0.001735624,0.001696829,0.082514964,0.678329993,0.047479667,0.015479667,0.000511854,0.112
7,0.001600877,0.001537496,0.08011848,0.666600424,0.048974815,0.016974815,0.000455617,0.102
8,0.002391011,0.002441193,0.064191452,0.635674368,0.046560983,0.014560983,0.00087872,0.102
9,0.002401284,0.00255253,0.066085828,0.622474808,0.047045557,0.015045557,0.000948343,0.102
10,0.001578468,0.001439493,0.085760203,0.66656235,0.047072616,0.015072616,0.000577727,0.122
11,0.002230816,0.002064396,0.058072086,0.624085636,0.049390404,0.017390404,0.00075126,0.122
12,0.002790426,0.002558639,0.058108738,0.619230179,0.050947184,0.018947184,0.00111853,0.122
13,0.00183777,0.001796592,0.05172589,0.593944291,0.049804561,0.017804561,0.000656546,0.090 
14,0.001987576,0.001943006,0.052729963,0.591352665,0.049834821,0.017834821,0.00073221,0.090 
15,0.00146101,0.001431441,0.061123397,0.632200213,0.04807912,0.01607912,0.000468663,0.090 
16,0.001536832,0.001385278,0.060103678,0.567248964,0.05188797,0.01988797,0.000596093,0.125
17,0.003231411,0.00279411,0.05172286,0.538771006,0.054503437,0.022503437,0.001337508,0.125
18,0.001234793,0.001147651,0.050761314,0.544542354,0.05143313,0.01943313,0.000378357,0.125
19,0.002429575,0.002221015,0.058451634,0.613443657,0.047589537,0.015589537,0.001021165,0.120 
20,0.002101306,0.002034341,0.063550232,0.631142969,0.047090709,0.015090709,0.000831989,0.120 
21,0.00275066,0.002483494,0.058933551,0.629223938,0.047208972,0.015208972,0.001095752,0.120 
22,0.002752493,0.002635058,0.064299537,0.617936325,0.048364684,0.016364684,0.001121723,0.109
23,0.001691571,0.00173267,0.063747671,0.621067968,0.049210748,0.017210748,0.00064398,0.109
24,0.00245585,0.002318156,0.076198159,0.652363664,0.04929562,0.01729562,0.000845832,0.109
25,0.003514757,0.003344249,0.081132717,0.627301147,0.064912079,0.032912079,0.00159934,0.122
26,0.002518719,0.002334907,0.078255492,0.635998242,0.051621877,0.019621877,0.000966784,0.122
27,0.002436131,0.002095268,0.051197596,0.551252635,0.057846305,0.025846305,0.000930022,0.122
28,0.001697187,0.001433474,0.071317999,0.653106394,0.046782822,0.014782822,0.000534556,0.104
29,0.002333969,0.002199844,0.074484733,0.658583739,0.047441557,0.015441557,0.000857047,0.104
30,0.002182583,0.001886733,0.0665972,0.638967475,0.047247215,0.015247215,0.000803412,0.104
31,0.002816672,0.002664665,0.055022935,0.59549826,0.047028948,0.015028948,0.001168924,0.101
32,0.002893842,0.002572183,0.05789188,0.602150402,0.049335759,0.017335759,0.001230996,0.101
33,0.002093592,0.001939072,0.088833308,0.6703956,0.048693902,0.016693902,0.000693242,0.101
34,0.002048664,0.001905391,0.055268598,0.576645377,0.052765109,0.020765109,0.000636631,0.114
35,0.002144884,0.001939411,0.060457478,0.581211581,0.052927606,0.020927606,0.000826537,0.114
36,0.002407423,0.002279397,0.049109252,0.585620443,0.05189657,0.01989657,0.000963956,0.114
37,0.002384845,0.002257302,0.059383688,0.595023696,0.051327352,0.019327352,0.000880836,0.134
38,0.001735207,0.001399759,0.063574954,0.597022143,0.048486902,0.016486902,0.000608451,0.134
39,0.00282026,0.002781532,0.072644362,0.624638783,0.049066267,0.017066267,0.001177061,0.134
40,0.002358137,0.002226377,0.083349641,0.613174014,0.060844076,0.028844076,0.000738274,0.149
41,0.001745974,0.001693312,0.080535435,0.642406096,0.049500544,0.017500544,0.00057532,0.149
42,0.00192587,0.001846497,0.050996757,0.589524748,0.048141346,0.016141346,0.000740318,0.149
43,0.003554011,0.003126772,0.040994873,0.563487447,0.046472788,0.014472788,0.00140753,0.123
44,0.003002727,0.002709232,0.059783311,0.610932109,0.049172554,0.017172554,0.001277981,0.123
45,0.002833231,0.002668913,0.079467602,0.633233716,0.049789759,0.017789759,0.001082387,0.123
46,0.002753164,0.002515528,0.051185425,0.582508799,0.053938504,0.021938504,0.001172357,0.097
47,0.002313347,0.002077915,0.082645713,0.653193391,0.048422371,0.016422371,0.00098825,0.097
48,0.002291851,0.002335166,0.111925257,0.69258037,0.051001565,0.019001565,0.000794229,0.097
49,0.003485457,0.002984483,0.052765564,0.579427827,0.049405751,0.017405751,0.001272273,0.123
50,0.003219995,0.003203327,0.063477854,0.602377544,0.049088381,0.017088381,0.001480109,0.123
51,0.001616613,0.001362037,0.074279374,0.631898241,0.048173355,0.016173355,0.000592531,0.123
52,0.002998132,0.00282401,0.066740375,0.625978633,0.051297257,0.019297257,0.001269089,0.090 
53,0.002152245,0.001969522,0.068967141,0.642059524,0.047116263,0.015116263,0.000847263,0.090 
54,0.001896283,0.001834825,0.062663432,0.625884446,0.050326762,0.018326762,0.000699708,0.090 
55,0.00299075,0.00285659,0.055719768,0.600950438,0.051333103,0.019333103,0.001492134,0.123
56,0.002868932,0.002726469,0.059326135,0.611407569,0.049752501,0.017752501,0.001252947,0.123
57,0.0017262,0.001584084,0.07265593,0.636651731,0.048746414,0.016746414,0.000540136,0.123
58,0.00199144,0.00181266,0.052550752,0.593821316,0.047437799,0.015437799,0.000766214,0.097
59,0.001550735,0.001362161,0.067835846,0.622741396,0.049166194,0.017166194,0.000450614,0.097
60,0.002905215,0.002688362,0.063042164,0.617958383,0.048880437,0.016880437,0.001255602,0.097
61,0.001835168,0.001746277,0.05534539,0.579199084,0.0520049,0.0200049,0.000650602,0.121
62,0.003148324,0.002679406,0.034230827,0.503394011,0.058847358,0.026847358,0.001347761,0.121
63,0.003735578,0.003197933,0.030576201,0.481808095,0.060429015,0.028429015,0.001551786,0.121
64,0.002784465,0.002750514,0.055710804,0.599096442,0.05016485,0.01816485,0.001045059,0.123
65,0.002178628,0.002113015,0.089082736,0.652749393,0.049818321,0.017818321,0.000765751,0.123
66,0.00173939,0.001526499,0.045583692,0.569762315,0.047889444,0.015889444,0.000519042,0.123
67,0.003766622,0.003227439,0.044031708,0.577677163,0.047506936,0.015506936,0.001722927,0.110 
68,0.001605016,0.001505412,0.082194202,0.664247791,0.047157711,0.015157711,0.00044636,0.110 
69,0.002588189,0.002354463,0.058054313,0.629671178,0.045510192,0.013510192,0.001004111,0.110 
70,0.002002069,0.001722204,0.049262648,0.586890078,0.048617324,0.016617324,0.000757238,0.113
71,0.002437322,0.002054985,0.053169178,0.5760152,0.051733465,0.019733465,0.000693323,0.113
72,0.002141573,0.001810208,0.05282242,0.577826076,0.05207203,0.02007203,0.000729264,0.113
73,0.002639191,0.002388769,0.051563671,0.542551131,0.055127027,0.023127027,0.001242881,0.178
74,0.003360163,0.003094077,0.050578308,0.494098636,0.071186405,0.039186405,0.001483133,0.178
75,0.001955502,0.001825329,0.061685898,0.561944546,0.060663773,0.028663773,0.000595359,0.178
76,0.001704405,0.001485163,0.03551701,0.514353523,0.057794342,0.025794342,0.000563525,0.107
77,0.001983749,0.001786106,0.079905309,0.631663166,0.053068818,0.021068818,0.000654875,0.107
78,0.002241593,0.001946884,0.060897971,0.587645126,0.052898298,0.020898298,0.000701383,0.107
79,0.003027935,0.002729506,0.049380837,0.564278881,0.051532722,0.019532722,0.001250848,0.127
80,0.002161799,0.001958147,0.037306488,0.557583178,0.049373808,0.017373808,0.000687836,0.127
81,0.003214387,0.002898895,0.059123274,0.604266251,0.052147405,0.020147405,0.001162236,0.127
82,0.002742653,0.002721628,0.065633055,0.607302095,0.054607136,0.022607136,0.001123112,0.117
83,0.001504595,0.001493881,0.101916016,0.671011003,0.050527173,0.018527173,0.000378981,0.117
84,0.001540071,0.001424166,0.052200551,0.604109785,0.049215964,0.017215964,0.000546505,0.117
85,0.003214474,0.002892452,0.051857266,0.584869657,0.051532771,0.019532771,0.001290326,0.109
86,0.003828811,0.003282094,0.049387841,0.571016759,0.050081173,0.018081173,0.001478204,0.109
87,0.002009541,0.00193026,0.061171275,0.613642193,0.051541836,0.019541836,0.00065988,0.109
88,0.001413288,0.001276314,0.085763052,0.674207993,0.049626754,0.017626754,0.000442279,0.116
89,0.002753825,0.002436428,0.065052921,0.620538947,0.051279442,0.019279442,0.000996887,0.116
90,0.002120371,0.002058246,0.048364775,0.578149879,0.053333864,0.021333864,0.000794809,0.116
91,0.001777748,0.001683784,0.061601767,0.628464352,0.050242004,0.018242004,0.000649283,0.124
92,0.00265879,0.00264832,0.056635456,0.599625216,0.052091537,0.020091537,0.001074123,0.124
93,0.003223695,0.002806437,0.059679323,0.605414142,0.055365505,0.023365505,0.001063775,0.124
94,0.004154212,0.003868132,0.081711242,0.630466513,0.046038067,0.014038067,0.001896038,0.106
95,0.001896459,0.001699964,0.067907986,0.625211611,0.052622171,0.020622171,0.000537446,0.106
96,0.002119344,0.002132572,0.092316443,0.648526813,0.055634039,0.023634039,0.00070203,0.106
97,0.002399448,0.002282878,0.075312623,0.597554118,0.053079453,0.021079453,0.001003275,0.177
98,0.001516394,0.001393009,0.063025105,0.606710906,0.05272593,0.02072593,0.000548488,0.177
99,0.001895598,0.001714654,0.049293357,0.590422741,0.054248944,0.022248944,0.000655784,0.177
100,0.001832128,0.001788525,0.110174841,0.703396424,0.048781787,0.016781787,0.000608342,0.098
101,0.002887509,0.002781017,0.052288834,0.594781242,0.04706875,0.01506875,0.001142444,0.098
102,0.003078188,0.003062311,0.068072661,0.63843741,0.048096712,0.016096712,0.001261296,0.098
103,0.002333692,0.002258354,0.074968695,0.62363751,0.05203097,0.02003097,0.000855359,0.118
104,0.00142155,0.00134121,0.054241165,0.600790555,0.051086815,0.019086815,0.000388004,0.118
105,0.002230138,0.002083887,0.060689606,0.611637227,0.04969188,0.01769188,0.000678515,0.118
106,0.003208498,0.003046586,0.063887683,0.618929656,0.048870449,0.016870449,0.001375207,0.126
107,0.001127265,0.001124495,0.086900039,0.662765626,0.047652415,0.015652415,0.000293027,0.126
108,0.003019844,0.002901801,0.05881909,0.605018642,0.048495643,0.016495643,0.001269209,0.126
